-7, -33, 688, 149, 1466, -993, 2828, -3697, 15871, -24377, 
-336071, -418071, -369432, -342340, -306005, -278614, -248164, -221135, -193968, -169218, 
-145853, -123530, -100212, -78027, -59288, -44659, -29602, -14227, -2585, 10011, 
20926, 29071, 36307, 43545, 49625, 54656, 60448, 64573, 69118, 74584, 
77835, 81693, 86733, 90897, 94685, 98515, 98916, 99548, 101301, 100616, 
98925, 98146, 95614, 93636, 92690, 89556, 84842, 82568, 78256, 73354, 
72067, 69603, 66319, 65019, 63215, 61889, 59707, 59252, 58812, 57976, 
57164, 54471, 51754, 49410, 46889, 41741, 37607, 33653, 28280, 25115, 
22644, 20412, 17068, 14910, 12270, 10588, 11030, 9379, 9232, 8586, 
9472, 9847, 8742, 8485, 9414, 10978, 10468, 9630, 8115, 6379, 
4614, 2392, 2441, 2178, -896, -5213, -5959, -6726, -7722, -6133, 
-6494, -5225, -4280, -4086, -2756, -1344, 697, 936, -111, -86, 
-277, 203, -949, -2281, -2450, -3984, -7107, -9167, -8830, -11960, 
-10591, -9328, -10673, -7293, -6094, -6418, -4670, -1629, -1192, 414, 
3313, 3986, 7214, 8043, 6797, 6148, 4518, 1457, -3406, -5582, 
-7410, -9083, -9820, -10557, -10903, -9699, -8356, -6829, -3151, -1005, 
1462, 3530, 3351, 2959, 3380, 3143, 3249, 2764, 2790, 2645, 
1895, 392, -2352, -4414, -6004, -6227, -6441, -6911, -5933, -3998, 
-1780, -705, -324, 1693, 3125, 3620, 4419, 6393, 7975, 8988, 
8049, 8016, 8404, 5824, 2481, 229, -605, -3447, -4106, -3974, 
-6151, -4876, -4396, -4413, -1980, -1369, -1105, 2425, 4793, 4695, 
6489, 6946, 4421, 5087, 5611, 3557, 4159, 3002, -98, -507, 
-2046, -3562, -3225, -4090, -4243, -3771, -2802, -706, 552, 2763, 
5534, 7655, 5411, 6978, 8397, 5574, 3592, 2610, 1878, -362, 
-1705, -3367, -3828, -5655, -8052, -6605, -7471, -7497, -6955, -6581, 
-4116, -4090, -1057, 1667, 3478, 5207, 5897, 6501, 4481, 4312, 
2233, 349, -529, -2333, -6023, -6889, -5498, -7949, -6048, -2952, 
-2379, -764, 38, -337, -980, -336, -35, 1158, 4351, 5042, 
5471, 5621, 3525, 3590, 2419, 835, -1925, -2493, -2591, -4932, 
-5670, -6596, -6480, -6267, -6971, -5259, -3628, -578, 1722, 3147, 
4066, 4072, 3279, 2803, 2092, 628, 1280, 1564, 206, -403, 
-3972, -5625, -6337, -6808, -5568, -4435, -2251, -1454, -296, 1545, 
2937, 2987, 3629, 5135, 5194, 5726, 5707, 4950, 5272, 4931, 
2884, -32, -2089, -2974, -3260, -4973, -4725, -3585, -3401, -1853, 
-1992, -1856, 1810, 2527, 3595, 5137, 5489, 5374, 4802, 2520, 
-1623, -1713, -2957, -4785, -4930, -2793, -3424, -3595, -3104, -2438, 
-963, -1401, -910, -92, 1559, 3380, 3034, 3999, 4858, 5639, 
4141, 3077, 2947, 2292, 828, 1, -614, -2371, -3322, -3397, 
-5213, -5800, -6223, -4721, -3077, -1169, 85, 1042, 3504, 3357, 
4082, 4433, 3728, 4091, 3463, 2872, 716, -358, -2088, -5113, 
-6188, -5004, -4015, -3581, -2328, -2741, -2274, -1886, -1141, -105, 
2734, 5458, 4480, 5421, 6073, 7488, 6459, 6157, 6418, 4845, 
3524, 1096, 542, -1721, -3844, -4789, -4860, -4247, -4627, -3087, 
-4017, -2986, -44, 768, 2158, 3646, 5581, 4701, 4801, 4768, 
2893, 1978, 343, -343, -1511, -3058, -4527, -5201, -4576, -4587, 
-5401, -4547, -3278, -3845, -3278, -1534, -1191, -417, 222, -402, 
218, 1079, 1055, 1979, 2824, 2913, 2753, 1215, -30, -691, 
-1235, -2609, -4908, -5598, -4760, -3930, -3313, -1687, -1698, -1155, 
468, 1422, 2404, 2868, 1496, -149, -160, -865, -2402, -2903, 
