0, -133, -623, 13258, 4087, 525, -27222, 54589, -13897, 199505, 
-432485, -6757469, -7038020, 6928013, 7872563, -20975374, -22950302, 32514711, 42029289, -68102665, 
-64198467, 95288023, 149523162, -278958323, -124321718, 635411352, -526599367, -62856350, 335628042, -91446374, 
-125478535, 30984933, 86875033, -26384234, -45159847, 12222174, 28035371, -7411491, -13184972, 4691843, 
9780340, -7231880, -4072458, 7683501, -9696246, -2840702, 3330777, -2269127, -4041294, 1614951, 
391118, -4767503, 4247663, -1422168, -3655479, 5536646, -2272694, -2288465, 4907570, -721552, 
-4305731, 7489392, -1665281, -3823419, 6650655, 9874, -4587224, 7043780, -292297, -4219348, 
6297212, 3075031, -8827723, 8056088, 4865043, -9255571, 5654234, 4993116, -4766734, 2548814, 
833847, 3148534, -2964739, 2965089, 1660004, -2559224, 3947928, 580440, -1664213, 195487, 
6350653, -4967615, -539019, 6651154, -3651505, 219328, 1752452, 2266411, -4158606, 4266647, 
1166248, -4410651, 5497515, -3018359, 3659826, -2697329, 98634, 3126896, -904010, -914470, 
-886058, 3725686, -1645343, -187338, -953231, 720029, 4200354, -4998019, -1286947, 5100127, 
1226432, -8123176, 5627062, 3011291, -7694820, 6614007, -2987081, -210748, 1621197, -1350368, 
1638437, -2765231, 1593532, 1383698, -2406425, 1367993, -2385095, 3597773, -381759, -4672860, 
3111664, 3480954, -4734468, -3507280, 12919787, -12961617, 2215950, 10811849, -14270380, 4986395, 
5936715, -6286050, -2706297, 8303196, -5084184, -2961018, 8583830, -8782840, 2701207, 3813768, 
-4232256, -658885, 1608808, 3245014, -6425807, 2777208, 2196763, -3020943, 714198, 1231994, 
-2153417, 1851548, 782326, -4582685, 5680646, -2126790, -2648469, 3743095, -726672, -2334141, 
2440622, -1172741, 645277, -1228791, 914284, 260731, -1275878, 913161, -760417, 1768837, 
-2017492, 36675, 1940071, -785925, -242542, -1247499, 1836289, 1742605, -4245775, 1192737, 
2034462, -424998, -1716839, 422938, -655322, 4046295, -3592757, -3125803, 5999772, -289139, 
-4231213, -810199, 8238581, -6895179, -1663480, 8413069, -8619499, 4185953, 2766573, -7993153, 
6249140, 2741665, -9195953, 4756762, 6240606, -10191633, 2022151, 8875166, -10329758, 1324217, 
8473803, -10028433, 3207850, 5251342, -8376406, 4604315, 2095510, -5426826, 3296958, -51398, 
231171, -885708, -2380232, 5352364, -951697, -5018775, -45686, 11996063, -12498559, -1673943, 
10977820, -4663750, -3885891, 1361869, 4506386, -3288711, 343269, -2983048, 4807696, 1865397, 
-9697433, 8406001, -1226812, -1793582, 1172165, -3596481, 8155120, -7574606, 1419281, 2952123, 
-2073191, -43442, -913320, 4459954, -7463643, 6018733, 280777, -5710346, 2113340, 7004991, 
-8097892, -3772516, 14832132, -11112800, -2224981, 9399731, -5282209, -1495998, 3037859, 353566, 
-3648325, 3426151, 82758, -4307563, 5913051, -3592370, -2264987, 6826781, -5842457, 911312, 
229621, 3727326, -5039857, -365400, 5845449, -5111539, 1758577, -722698, 209383, 2438872, 
-4584714, 3664221, -1740592, 952138, -189708, -1298131, 1269100, 1085467, -2647611, 528842, 
3277671, -4547867, 1934147, 2276611, -5731198, 6730854, -4222670, -427264, 2952021, -1779168, 
1017350, -2968187, 3946042, -660776, -2527398, 808143, 2854877, -2721551, -1442820, 4671605, 
