-1, 48, 125, 45, 214, -365, 1342, -2717, 4496, -3849, 
-29807, -2497, -13513, -23056, 6431, -15851, -31281, 18840, -39226, 1647, 
-14598, -23897, -456, -20883, 370, -24558, -6467, -16492, -11744, -20015, 
-5664, -19036, -6792, -9824, -23449, -14227, 2606, -4101, -25794, 3819, 
-27865, -3942, -17138, -17464, -9993, -13261, -9179, -26868, 1982, -23178, 
-9426, -15886, -19696, 1495, -18538, -31341, 36732, -100445, 83158, 282122, 
-21622, -6784, -20323, -3952, -18872, -18525, -8772, -16444, -17558, -10615, 
-14262, -13665, -7920, -25523, -2970, -17041, -15213, -8628, -11449, -23048, 
